r theta n
13.5333 180 50000
13.5333 180 50000
13.5333 180 50000
13.5333 180 50000
13.5333 180 50000
13.5333 180 50000
13.5333 180 50000
13.5333 180 50000
13.5333 180 50000
13.5333 180 50000
13.5333 180 50000
13.5333 180 50000
13.5333 180 50000
13.5333 180 50000
13.5333 180 50000
13.5333 180 50000
13.5333 180 50000
13.5333 180 50000
13.5333 180 50000
13.5333 180 50000
13.5333 180 50000
13.5333 180 50000
13.5333 180 50000
13.5333 180 50000
13.5333 180 50000
13.5333 180 50000
13.5333 180 50000
13.5333 180 50000
13.5333 180 50000
13.5333 180 50000
13.5333 180 50000
13.5333 180 50000
13.5333 180 50000
13.5333 180 50000
13.5333 180 50000
13.5333 180 50000
13.5333 180 50000
13.5333 180 50000
13.5333 180 50000
13.5333 180 50000
13.5333 180 50000
13.5333 180 50000
13.5333 180 50000
13.5333 180 50000
13.5333 180 50000
13.5333 180 50000
13.5333 180 50000
13.5333 180 50000
13.5333 180 50000
13.5333 180 50000
11.6 180 50000
11.6 180 50000
11.6 180 50000
11.6 180 50000
11.6 180 50000
11.6 180 50000
11.6 180 50000
11.6 180 50000
11.6 180 50000
11.6 180 50000
11.6 180 50000
11.6 180 50000
11.6 180 50000
11.6 180 50000
11.6 180 50000
11.6 180 50000
11.6 180 50000
11.6 180 50000
11.6 180 50000
11.6 180 50000
11.6 180 50000
11.6 180 50000
11.6 180 50000
11.6 180 50000
11.6 180 50000
11.6 180 50000
11.6 180 50000
11.6 180 50000
11.6 180 50000
11.6 180 50000
11.6 180 50000
11.6 180 50000
11.6 180 50000
11.6 180 50000
11.6 180 50000
11.6 180 50000
11.6 180 50000
11.6 180 50000
11.6 180 50000
11.6 180 50000
11.6 180 50000
11.6 180 50000
11.6 180 50000
11.6 180 50000
11.6 180 50000
11.6 180 50000
11.6 180 50000
11.6 180 50000
11.6 180 50000
11.6 180 50000
9.66667 180 50000
9.66667 180 50000
9.66667 180 50000
9.66667 180 50000
9.66667 180 50000
9.66667 180 50000
9.66667 180 50000
9.66667 180 50000
9.66667 180 50000
9.66667 180 50000
9.66667 180 50000
9.66667 180 50000
9.66667 180 50000
9.66667 180 50000
9.66667 180 50000
9.66667 180 50000
9.66667 180 50000
9.66667 180 50000
9.66667 180 50000
9.66667 180 50000
9.66667 180 50000
9.66667 180 50000
9.66667 180 50000
9.66667 180 50000
9.66667 180 50000
9.66667 180 50000
9.66667 180 50000
9.66667 180 50000
9.66667 180 50000
9.66667 180 50000
9.66667 180 50000
9.66667 180 50000
9.66667 180 50000
9.66667 180 50000
9.66667 180 50000
9.66667 180 50000
9.66667 180 50000
9.66667 180 50000
9.66667 180 50000
9.66667 180 50000
9.66667 180 50000
9.66667 180 50000
9.66667 180 50000
9.66667 180 50000
9.66667 180 50000
9.66667 180 50000
9.66667 180 50000
9.66667 180 50000
9.66667 180 50000
9.66667 180 50000
7.73333 180 50000
7.73333 180 50000
7.73333 180 50000
7.73333 180 50000
7.73333 180 50000
7.73333 180 50000
7.73333 180 50000
7.73333 180 50000
7.73333 180 50000
7.73333 180 50000
7.73333 180 50000
7.73333 180 50000
7.73333 180 50000
7.73333 180 50000
7.73333 180 50000
7.73333 180 50000
7.73333 180 50000
7.73333 180 50000
7.73333 180 50000
7.73333 180 50000
7.73333 180 50000
7.73333 180 50000
7.73333 180 50000
7.73333 180 50000
7.73333 180 50000
7.73333 180 50000
7.73333 180 50000
7.73333 180 50000
7.73333 180 50000
7.73333 180 50000
7.73333 180 50000
7.73333 180 50000
7.73333 180 50000
7.73333 180 50000
7.73333 180 50000
7.73333 180 50000
7.73333 180 50000
7.73333 180 50000
7.73333 180 50000
7.73333 180 50000
7.73333 180 50000
7.73333 180 50000
7.73333 180 50000
7.73333 180 50000
7.73333 180 50000
7.73333 180 50000
7.73333 180 50000
7.73333 180 50000
7.73333 180 50000
7.73333 180 50000
5.8 180 50000
5.8 180 50000
5.8 180 50000
5.8 180 50000
5.8 180 50000
5.8 180 50000
5.8 180 50000
5.8 180 50000
5.8 180 50000
5.8 180 50000
5.8 180 50000
5.8 180 50000
5.8 180 50000
5.8 180 50000
5.8 180 50000
5.8 180 50000
5.8 180 50000
5.8 180 50000
5.8 180 50000
5.8 180 50000
5.8 180 50000
5.8 180 50000
5.8 180 50000
5.8 180 50000
5.8 180 50000
5.8 180 50000
5.8 180 50000
5.8 180 50000
5.8 180 50000
5.8 180 50000
5.8 180 50000
5.8 180 50000
5.8 180 50000
5.8 180 50000
5.8 180 50000
5.8 180 50000
5.8 180 50000
5.8 180 50000
5.8 180 50000
5.8 180 50000
5.8 180 50000
5.8 180 50000
5.8 180 50000
5.8 180 50000
5.8 180 50000
