x y n
-13.5333 0 50000
-13.5333 0 50000
-13.5333 0 50000
-13.5333 0 50000
-13.5333 0 50000
-13.5333 0 50000
-13.5333 0 50000
-13.5333 0 50000
-13.5333 0 50000
-13.5333 0 50000
-13.5333 0 50000
-13.5333 0 50000
-13.5333 0 50000
-13.5333 0 50000
-13.5333 0 50000
-13.5333 0 50000
-13.5333 0 50000
-13.5333 0 50000
-13.5333 0 50000
-13.5333 0 50000
-13.5333 0 50000
-13.5333 0 50000
-13.5333 0 50000
-13.5333 0 50000
-13.5333 0 50000
-13.5333 0 50000
-13.5333 0 50000
-13.5333 0 50000
-13.5333 0 50000
-13.5333 0 50000
-13.5333 0 50000
-13.5333 0 50000
-13.5333 0 50000
-13.5333 0 50000
-13.5333 0 50000
-13.5333 0 50000
-13.5333 0 50000
-13.5333 0 50000
-13.5333 0 50000
-13.5333 0 50000
-13.5333 0 50000
-13.5333 0 50000
-13.5333 0 50000
-13.5333 0 50000
-13.5333 0 50000
-13.5333 0 50000
-13.5333 0 50000
-13.5333 0 50000
-13.5333 0 50000
-13.5333 0 50000
-11.6 0 50000
-11.6 0 50000
-11.6 0 50000
-11.6 0 50000
-11.6 0 50000
-11.6 0 50000
-11.6 0 50000
-11.6 0 50000
-11.6 0 50000
-11.6 0 50000
-11.6 0 50000
-11.6 0 50000
-11.6 0 50000
-11.6 0 50000
-11.6 0 50000
-11.6 0 50000
-11.6 0 50000
-11.6 0 50000
-11.6 0 50000
-11.6 0 50000
-11.6 0 50000
-11.6 0 50000
-11.6 0 50000
-11.6 0 50000
-11.6 0 50000
-11.6 0 50000
-11.6 0 50000
-11.6 0 50000
-11.6 0 50000
-11.6 0 50000
-11.6 0 50000
-11.6 0 50000
-11.6 0 50000
-11.6 0 50000
-11.6 0 50000
-11.6 0 50000
-11.6 0 50000
-11.6 0 50000
-11.6 0 50000
-11.6 0 50000
-11.6 0 50000
-11.6 0 50000
-11.6 0 50000
-11.6 0 50000
-11.6 0 50000
-11.6 0 50000
-11.6 0 50000
-11.6 0 50000
-11.6 0 50000
-11.6 0 50000
-9.66667 0 50000
-9.66667 0 50000
-9.66667 0 50000
-9.66667 0 50000
-9.66667 0 50000
-9.66667 0 50000
-9.66667 0 50000
-9.66667 0 50000
-9.66667 0 50000
-9.66667 0 50000
-9.66667 0 50000
-9.66667 0 50000
-9.66667 0 50000
-9.66667 0 50000
-9.66667 0 50000
-9.66667 0 50000
-9.66667 0 50000
-9.66667 0 50000
-9.66667 0 50000
-9.66667 0 50000
-9.66667 0 50000
-9.66667 0 50000
-9.66667 0 50000
-9.66667 0 50000
-9.66667 0 50000
-9.66667 0 50000
-9.66667 0 50000
-9.66667 0 50000
-9.66667 0 50000
-9.66667 0 50000
-9.66667 0 50000
-9.66667 0 50000
-9.66667 0 50000
-9.66667 0 50000
-9.66667 0 50000
-9.66667 0 50000
-9.66667 0 50000
-9.66667 0 50000
-9.66667 0 50000
-9.66667 0 50000
-9.66667 0 50000
-9.66667 0 50000
-9.66667 0 50000
-9.66667 0 50000
-9.66667 0 50000
-9.66667 0 50000
-9.66667 0 50000
-9.66667 0 50000
-9.66667 0 50000
-9.66667 0 50000
-7.73333 0 50000
-7.73333 0 50000
-7.73333 0 50000
-7.73333 0 50000
-7.73333 0 50000
-7.73333 0 50000
-7.73333 0 50000
-7.73333 0 50000
-7.73333 0 50000
-7.73333 0 50000
-7.73333 0 50000
-7.73333 0 50000
-7.73333 0 50000
-7.73333 0 50000
-7.73333 0 50000
-7.73333 0 50000
-7.73333 0 50000
-7.73333 0 50000
-7.73333 0 50000
-7.73333 0 50000
-7.73333 0 50000
-7.73333 0 50000
-7.73333 0 50000
-7.73333 0 50000
-7.73333 0 50000
-7.73333 0 50000
-7.73333 0 50000
-7.73333 0 50000
-7.73333 0 50000
-7.73333 0 50000
-7.73333 0 50000
-7.73333 0 50000
-7.73333 0 50000
-7.73333 0 50000
-7.73333 0 50000
-7.73333 0 50000
-7.73333 0 50000
-7.73333 0 50000
-7.73333 0 50000
-7.73333 0 50000
-7.73333 0 50000
-7.73333 0 50000
-7.73333 0 50000
-7.73333 0 50000
-7.73333 0 50000
-7.73333 0 50000
-7.73333 0 50000
-7.73333 0 50000
-7.73333 0 50000
-7.73333 0 50000
-5.8 0 50000
-5.8 0 50000
-5.8 0 50000
-5.8 0 50000
-5.8 0 50000
-5.8 0 50000
-5.8 0 50000
-5.8 0 50000
-5.8 0 50000
-5.8 0 50000
-5.8 0 50000
-5.8 0 50000
-5.8 0 50000
-5.8 0 50000
-5.8 0 50000
-5.8 0 50000
-5.8 0 50000
-5.8 0 50000
-5.8 0 50000
-5.8 0 50000
-5.8 0 50000
-5.8 0 50000
-5.8 0 50000
-5.8 0 50000
-5.8 0 50000
-5.8 0 50000
-5.8 0 50000
-5.8 0 50000
-5.8 0 50000
-5.8 0 50000
-5.8 0 50000
-5.8 0 50000
-5.8 0 50000
-5.8 0 50000
-5.8 0 50000
-5.8 0 50000
-5.8 0 50000
-5.8 0 50000
-5.8 0 50000
-5.8 0 50000
-5.8 0 50000
-5.8 0 50000
-5.8 0 50000
-5.8 0 50000
-5.8 0 50000
-5.8 0 50000
-5.8 0 50000
-5.8 0 50000
-5.8 0 50000
-5.8 0 50000
-3.86667 0 50000
-3.86667 0 50000
-3.86667 0 50000
-3.86667 0 50000
-3.86667 0 50000
-3.86667 0 50000
-3.86667 0 50000
-3.86667 0 50000
-3.86667 0 50000
-3.86667 0 50000
-3.86667 0 50000
-3.86667 0 50000
-3.86667 0 50000
-3.86667 0 50000
-3.86667 0 50000
-3.86667 0 50000
-3.86667 0 50000
-3.86667 0 50000
-3.86667 0 50000
-3.86667 0 50000
-3.86667 0 50000
-3.86667 0 50000
-3.86667 0 50000
-3.86667 0 50000
-3.86667 0 50000
-3.86667 0 50000
-3.86667 0 50000
-3.86667 0 50000
-3.86667 0 50000
-3.86667 0 50000
-3.86667 0 50000
-3.86667 0 50000
-3.86667 0 50000
-3.86667 0 50000
-3.86667 0 50000
-3.86667 0 50000
-3.86667 0 50000
-3.86667 0 50000
-3.86667 0 50000
-3.86667 0 50000
-3.86667 0 50000
-3.86667 0 50000
-3.86667 0 50000
-3.86667 0 50000
-3.86667 0 50000
-3.86667 0 50000
-3.86667 0 50000
-3.86667 0 50000
-3.86667 0 50000
-3.86667 0 50000
-1.93333 0 50000
-1.93333 0 50000
-1.93333 0 50000
-1.93333 0 50000
-1.93333 0 50000
-1.93333 0 50000
-1.93333 0 50000
-1.93333 0 50000
-1.93333 0 50000
-1.93333 0 50000
-1.93333 0 50000
-1.93333 0 50000
-1.93333 0 50000
-1.93333 0 50000
-1.93333 0 50000
-1.93333 0 50000
-1.93333 0 50000
-1.93333 0 50000
-1.93333 0 50000
-1.93333 0 50000
-1.93333 0 50000
-1.93333 0 50000
-1.93333 0 50000
-1.93333 0 50000
-1.93333 0 50000
-1.93333 0 50000
-1.93333 0 50000
-1.93333 0 50000
-1.93333 0 50000
-1.93333 0 50000
-1.93333 0 50000
-1.93333 0 50000
-1.93333 0 50000
-1.93333 0 50000
-1.93333 0 50000
-1.93333 0 50000
-1.93333 0 50000
-1.93333 0 50000
-1.93333 0 50000
-1.93333 0 50000
-1.93333 0 50000
-1.93333 0 50000
