voxelID mppcID probability
1 1 0.000232
1 2 0.0002384
1 3 0.00026
1 4 0.0002316
1 5 0.000224
1 6 0.0002404
1 7 0.0002208
1 8 0.0002304
1 9 0.0002332
1 10 0.0002356
1 11 0.0002368
1 12 0.0002332
1 13 0.0002312
1 14 0.0002368
1 15 0.0002496
1 16 0.000234
2 1 0.0002412
2 2 0.000238
2 3 0.000254
2 4 0.0002316
2 5 0.000234
2 6 0.0002312
2 7 0.0002128
2 8 0.0002352
2 9 0.0002036
2 10 0.0002032
2 11 0.0002344
2 12 0.0002412
2 13 0.0002304
2 14 0.0002424
2 15 0.000226
2 16 0.0002344
3 1 0.0002796
3 2 0.0002784
3 3 0.0002756
3 4 0.0002504
3 5 0.0002176
3 6 0.0002164
3 7 0.0002088
3 8 0.0001896
3 9 0.0002124
3 10 0.0002184
3 11 0.0002164
3 12 0.0002176
3 13 0.0002468
3 14 0.0002612
3 15 0.0002652
3 16 0.0002644
4 1 0.0002952
4 2 0.0003076
4 3 0.000262
4 4 0.000252
4 5 0.000248
4 6 0.0002084
4 7 0.0001968
4 8 0.0002036
4 9 0.0002016
4 10 0.0002084
4 11 0.0002116
4 12 0.0002224
4 13 0.0002164
4 14 0.000238
4 15 0.00027
4 16 0.0002896
5 1 0.0003476
5 2 0.0003284
5 3 0.0002892
5 4 0.000246
5 5 0.0002128
5 6 0.000204
5 7 0.0001956
5 8 0.000174
5 9 0.0001764
5 10 0.0002028
5 11 0.0001856
5 12 0.0001952
5 13 0.0002024
5 14 0.00023
5 15 0.000276
5 16 0.00032
6 1 0.0003892
6 2 0.0003648
6 3 0.0002952
6 4 0.0002452
6 5 0.0002068
6 6 0.0001888
6 7 0.0001816
6 8 0.0001876
6 9 0.0001772
6 10 0.000184
6 11 0.0001832
6 12 0.0001936
6 13 0.0001972
6 14 0.0002484
6 15 0.0002864
6 16 0.00034
7 1 0.0004528
7 2 0.0003752
7 3 0.0002804
7 4 0.0002368
7 5 0.0001936
7 6 0.0002016
7 7 0.00018
7 8 0.00017
7 9 0.0001912
7 10 0.0001756
7 11 0.000176
7 12 0.0001796
7 13 0.000208
7 14 0.0002288
7 15 0.0002968
7 16 0.0003824
8 1 0.0005164
8 2 0.0004324
8 3 0.0002992
8 4 0.0002492
8 5 0.0001972
8 6 0.0001832
8 7 0.00018
8 8 0.0001788
8 9 0.0001896
8 10 0.0001928
8 11 0.0001944
8 12 0.0001864
8 13 0.0001972
8 14 0.000236
8 15 0.0003056
8 16 0.0004152
9 1 0.0006444
9 2 0.0004876
9 3 0.0003292
9 4 0.0002416
9 5 0.0002096
9 6 0.0001976
9 7 0.0002048
9 8 0.0002156
9 9 0.0002076
9 10 0.000194
9 11 0.0002144
9 12 0.0001964
9 13 0.0002188
9 14 0.0002276
9 15 0.000322
9 16 0.0004632
10 1 0.0007924
10 2 0.000552
10 3 0.000336
10 4 0.0002372
10 5 0.0002332
10 6 0.0002516
10 7 0.0002664
10 8 0.00026
10 9 0.0002552
10 10 0.0002932
10 11 0.0002808
10 12 0.0002608
10 13 0.000242
10 14 0.0002456
