voxelID x y
1 0 0
2 1 0
3 2 0
4 3 0
5 4 0
6 5 0
7 6 0
8 7 0
9 8 0
10 9 0
11 10 0
12 11 0
13 12 0
14 13 0
15 14 0
16 -1 0
17 -2 0
18 -3 0
19 -4 0
20 -5 0
21 -6 0
22 -7 0
23 -8 0
24 -9 0
25 -10 0
26 -11 0
27 -12 0
28 -13 0
29 -14 0
30 0 1
31 1 1
32 2 1
33 3 1
34 4 1
35 5 1
36 6 1
37 7 1
38 8 1
39 9 1
40 10 1
41 11 1
42 12 1
43 13 1
44 14 1
45 -1 1
46 -2 1
47 -3 1
48 -4 1
49 -5 1
50 -6 1
51 -7 1
52 -8 1
53 -9 1
54 -10 1
55 -11 1
56 -12 1
57 -13 1
58 -14 1
59 0 2
60 1 2
61 2 2
62 3 2
63 4 2
64 5 2
65 6 2
66 7 2
67 8 2
68 9 2
69 10 2
70 11 2
71 12 2
72 13 2
73 14 2
74 -1 2
75 -2 2
76 -3 2
77 -4 2
78 -5 2
79 -6 2
80 -7 2
81 -8 2
82 -9 2
83 -10 2
84 -11 2
85 -12 2
86 -13 2
87 -14 2
88 0 3
89 1 3
90 2 3
91 3 3
92 4 3
93 5 3
94 6 3
95 7 3
96 8 3
97 9 3
98 10 3
99 11 3
100 12 3
101 13 3
102 14 3
103 -1 3
104 -2 3
105 -3 3
106 -4 3
107 -5 3
108 -6 3
109 -7 3
110 -8 3
111 -9 3
112 -10 3
113 -11 3
114 -12 3
115 -13 3
116 -14 3
117 0 4
118 1 4
119 2 4
120 3 4
121 4 4
122 5 4
123 6 4
124 7 4
125 8 4
126 9 4
127 10 4
128 11 4
129 12 4
130 13 4
131 -1 4
132 -2 4
133 -3 4
134 -4 4
135 -5 4
136 -6 4
137 -7 4
138 -8 4
139 -9 4
140 -10 4
141 -11 4
142 -12 4
143 -13 4
144 0 5
145 1 5
146 2 5
147 3 5
148 4 5
149 5 5
150 6 5
151 7 5
152 8 5
153 9 5
154 10 5
155 11 5
156 12 5
157 13 5
158 -1 5
159 -2 5
160 -3 5
161 -4 5
162 -5 5
163 -6 5
164 -7 5
165 -8 5
166 -9 5
167 -10 5
168 -11 5
169 -12 5
170 -13 5
171 0 6
172 1 6
173 2 6
174 3 6
175 4 6
176 5 6
177 6 6
178 7 6
179 8 6
180 9 6
181 10 6
182 11 6
183 12 6
184 13 6
185 -1 6
186 -2 6
187 -3 6
188 -4 6
189 -5 6
190 -6 6
191 -7 6
192 -8 6
193 -9 6
194 -10 6
195 -11 6
196 -12 6
197 -13 6
198 0 7
199 1 7
200 2 7
201 3 7
202 4 7
203 5 7
204 6 7
205 7 7
206 8 7
207 9 7
208 10 7
209 11 7
210 12 7
211 -1 7
212 -2 7
213 -3 7
214 -4 7
215 -5 7
216 -6 7
217 -7 7
218 -8 7
219 -9 7
220 -10 7
221 -11 7
222 -12 7
223 0 8
224 1 8
225 2 8
226 3 8
227 4 8
228 5 8
229 6 8
230 7 8
231 8 8
232 9 8
233 10 8
234 11 8
235 12 8
236 -1 8
237 -2 8
238 -3 8
239 -4 8
240 -5 8
241 -6 8
242 -7 8
243 -8 8
244 -9 8
245 -10 8
246 -11 8
247 -12 8
248 0 9
249 1 9
250 2 9
251 3 9
252 4 9
253 5 9
254 6 9
255 7 9
256 8 9
257 9 9
258 10 9
259 11 9
260 -1 9
261 -2 9
262 -3 9
263 -4 9
264 -5 9
265 -6 9
266 -7 9
267 -8 9
268 -9 9
269 -10 9
270 -11 9
271 0 10
272 1 10
273 2 10
274 3 10
275 4 10
276 5 10
277 6 10
278 7 10
279 8 10
280 9 10
281 10 10
282 -1 10
283 -2 10
284 -3 10
285 -4 10
286 -5 10
287 -6 10
288 -7 10
289 -8 10
290 -9 10
291 -10 10
292 0 11
293 1 11
294 2 11
295 3 11
296 4 11
297 5 11
298 6 11
299 7 11
300 8 11
301 9 11
302 -1 11
303 -2 11
304 -3 11
305 -4 11
306 -5 11
307 -6 11
308 -7 11
309 -8 11
310 -9 11
311 0 12
312 1 12
313 2 12
314 3 12
315 4 12
316 5 12
317 6 12
318 7 12
319 8 12
320 -1 12
321 -2 12
322 -3 12
323 -4 12
324 -5 12
325 -6 12
326 -7 12
327 -8 12
328 0 13
329 1 13
330 2 13
331 3 13
332 4 13
333 5 13
334 6 13
335 -1 13
336 -2 13
337 -3 13
338 -4 13
339 -5 13
340 -6 13
341 0 14
342 1 14
343 2 14
344 3 14
345 -1 14
346 -2 14
347 -3 14
348 0 -1
349 1 -1
350 2 -1
351 3 -1
352 4 -1
353 5 -1
354 6 -1
355 7 -1
356 8 -1
357 9 -1
358 10 -1
359 11 -1
360 12 -1
361 13 -1
362 14 -1
363 -1 -1
364 -2 -1
365 -3 -1
366 -4 -1
367 -5 -1
368 -6 -1
369 -7 -1
370 -8 -1
371 -9 -1
372 -10 -1
373 -11 -1
374 -12 -1
375 -13 -1
376 -14 -1
377 0 -2
378 1 -2
379 2 -2
380 3 -2
381 4 -2
382 5 -2
383 6 -2
384 7 -2
385 8 -2
386 9 -2
387 10 -2
388 11 -2
389 12 -2
390 13 -2
391 14 -2
392 -1 -2
393 -2 -2
394 -3 -2
395 -4 -2
396 -5 -2
397 -6 -2
398 -7 -2
399 -8 -2
400 -9 -2
401 -10 -2
402 -11 -2
403 -12 -2
404 -13 -2
405 -14 -2
406 0 -3
407 1 -3
408 2 -3
409 3 -3
410 4 -3
411 5 -3
412 6 -3
413 7 -3
414 8 -3
415 9 -3
416 10 -3
417 11 -3
418 12 -3
419 13 -3
420 14 -3
421 -1 -3
422 -2 -3
423 -3 -3
424 -4 -3
