voxelID mppcID probability
1 1 0.000209
1 2 0.000214
1 3 0.000245
1 4 0.000235
1 5 0.000205
1 6 0.000251
1 7 0.000229
1 8 0.000215
1 9 0.000222
1 10 0.000228
1 11 0.000269
1 12 0.000217
1 13 0.000242
1 14 0.000237
1 15 0.000243
1 16 0.000247
1 17 0.000257
1 18 0.000258
1 19 0.000227
1 20 0.000245
1 21 0.000242
1 22 0.000211
1 23 0.000239
1 24 0.000239
1 25 0.000235
1 26 0.000217
1 27 0.000217
1 28 0.000228
1 29 0.000237
1 30 0.000249
1 31 0.000227
1 32 0.000248
2 1 0.000285
2 2 0.00028
2 3 0.00025
2 4 0.00025
2 5 0.00024
2 6 0.000238
2 7 0.000243
2 8 0.000244
2 9 0.000223
2 10 0.00024
2 11 0.000226
2 12 0.00022
2 13 0.000222
2 14 0.000221
2 15 0.000206
2 16 0.000202
2 17 0.000234
2 18 0.00022
2 19 0.000213
2 20 0.000204
2 21 0.000234
2 22 0.000239
2 23 0.000243
2 24 0.000231
2 25 0.000219
2 26 0.000252
2 27 0.000233
2 28 0.000217
2 29 0.000244
2 30 0.000257
2 31 0.000218
2 32 0.00024
3 1 0.00029
3 2 0.000315
3 3 0.000288
3 4 0.000235
3 5 0.000223
3 6 0.000237
3 7 0.000259
3 8 0.000259
3 9 0.000235
3 10 0.000198
3 11 0.000203
3 12 0.000216
3 13 0.000186
3 14 0.000206
3 15 0.000206
3 16 0.000222
3 17 0.000208
3 18 0.000206
3 19 0.000194
3 20 0.000219
3 21 0.000219
3 22 0.000215
3 23 0.000192
3 24 0.00021
3 25 0.000216
3 26 0.000268
3 27 0.000244
3 28 0.000239
3 29 0.000259
3 30 0.000273
3 31 0.000279
3 32 0.000276
4 1 0.000284
4 2 0.000306
4 3 0.000297
4 4 0.000312
4 5 0.00029
4 6 0.000243
4 7 0.000234
4 8 0.000216
4 9 0.000237
4 10 0.000233
4 11 0.00022
4 12 0.000204
4 13 0.000206
4 14 0.000192
4 15 0.000213
4 16 0.000197
4 17 0.000205
4 18 0.000211
4 19 0.000178
4 20 0.000222
4 21 0.000198
4 22 0.000215
4 23 0.000197
4 24 0.000204
4 25 0.000213
4 26 0.000238
4 27 0.000235
4 28 0.000245
4 29 0.00027
4 30 0.000277
4 31 0.000311
4 32 0.000277
5 1 0.000357
5 2 0.000358
5 3 0.000302
5 4 0.000292
5 5 0.000306
5 6 0.000259
5 7 0.000263
5 8 0.000222
5 9 0.000222
5 10 0.000212
5 11 0.000196
5 12 0.000186
5 13 0.000206
5 14 0.000158
5 15 0.000196
5 16 0.000175
5 17 0.000174
5 18 0.000171
5 19 0.000202
5 20 0.000191
5 21 0.000194
5 22 0.000171
5 23 0.000189
5 24 0.000216
5 25 0.000204
5 26 0.000224
5 27 0.000261
5 28 0.000251
5 29 0.000263
5 30 0.00029
5 31 0.000305
5 32 0.000323
6 1 0.000377
6 2 0.000386
6 3 0.000343
6 4 0.000326
6 5 0.000296
6 6 0.000264
6 7 0.000278
6 8 0.000252
6 9 0.000194
6 10 0.000188
6 11 0.000192
6 12 0.00018
6 13 0.000198
6 14 0.000187
6 15 0.000165
6 16 0.000188
6 17 0.000185
6 18 0.000171
6 19 0.000197
6 20 0.000175
6 21 0.00019
6 22 0.000186
6 23 0.00018
6 24 0.000221
6 25 0.000214
6 26 0.000233
6 27 0.00023
6 28 0.000281
6 29 0.000291
6 30 0.00031
6 31 0.000357
6 32 0.000393
7 1 0.000471
7 2 0.000446
7 3 0.000397
7 4 0.000332
7 5 0.000303
7 6 0.000238
7 7 0.000236
7 8 0.000204
7 9 0.000202
7 10 0.000166
7 11 0.000192
7 12 0.000191
7 13 0.000174
7 14 0.000194
7 15 0.000161
7 16 0.00019
7 17 0.000188
7 18 0.000163
7 19 0.000194
7 20 0.000195
7 21 0.000159
7 22 0.000205
7 23 0.000182
7 24 0.000181
7 25 0.000197
7 26 0.000219
7 27 0.000215
7 28 0.00027
7 29 0.000322
7 30 0.000343
7 31 0.00041
7 32 0.000419
8 1 0.000535
8 2 0.000476
8 3 0.000437
8 4 0.000364
8 5 0.000267
8 6 0.000253
8 7 0.000228
8 8 0.000199
8 9 0.000193
8 10 0.000192
8 11 0.000184
8 12 0.000177
8 13 0.000211
8 14 0.000216
8 15 0.000195
8 16 0.000203
8 17 0.000212
8 18 0.00021
8 19 0.000206
8 20 0.000184
8 21 0.000182
8 22 0.000181
8 23 0.000179
8 24 0.000188
8 25 0.000177
8 26 0.000213
8 27 0.000241
8 28 0.000259
8 29 0.000297
8 30 0.000402
8 31 0.000416
8 32 0.000486
9 1 0.00065
9 2 0.000596
9 3 0.000523
9 4 0.000378
9 5 0.0003
9 6 0.000255
9 7 0.00022
9 8 0.000219
9 9 0.000209
9 10 0.000211
9 11 0.000161
9 12 0.000211
9 13 0.0002
9 14 0.000167
9 15 0.000214
9 16 0.000243
9 17 0.000233
9 18 0.0002
9 19 0.000204
9 20 0.000218
9 21 0.00022
9 22 0.000201
9 23 0.0002
9 24 0.000171
9 25 0.000198
9 26 0.000213
9 27 0.000239
